GPU,eBay Price,QTY Sold,Month
GeForce RTX 2070 Super,$251,385,December 2022
GeForce RTX 2070,$220,211,December 2022
GeForce RTX 2060 Super,$214,258,December 2022
GeForce RTX 2060,$184,336,December 2022
GeForce GTX 1660 Ti,$139,252,December 2022
GeForce GTX 1660 Super,$136,970,December 2022
GeForce GTX 1660,$120,142,December 2022
GeForce GTX 1650 Super,$119,147,December 2022
GeForce GTX 1650,$124,385,December 2022
Radeon RX 5700 XT,$168,990,December 2022
Radeon RX 5700,$157,144,December 2022
Radeon RX 5600 XT,$129,246,December 2022
Radeon RX 5500 XT 8GB,$124,50,December 2022
Radeon RX 5500 XT 4GB,$91,11,December 2022
GeForce RTX 3090,"$2,341",968,February 2022
GeForce RTX 3080 Ti,"$1,721",753,February 2022
GeForce RTX 3080 12GB,"$1,547",82,February 2022
GeForce RTX 3080,"$1,440",1222,February 2022
GeForce RTX 3070 Ti,"$1,001",929,February 2022
GeForce RTX 3070,$988,1512,February 2022
GeForce RTX 3060 Ti,$847,2084,February 2022
GeForce RTX 3060 12GB,$636,1485,February 2022
GeForce RTX 3050,$455,330,February 2022
Radeon RX 6900 XT,"$1,421",139,February 2022
Radeon RX 6800 XT,"$1,176",192,February 2022
Radeon RX 6800,"$1,033",112,February 2022
Radeon RX 6700 XT,$783,398,February 2022
Radeon RX 6600 XT,$568,320,February 2022
Radeon RX 6600,$463,239,February 2022
Radeon RX 6500 XT,$272,124,February 2022
GeForce RTX 2080 Ti,$976,307,February 2022
GeForce RTX 2080 Super,$741,188,February 2022
GeForce RTX 2080,$665,132,February 2022
GeForce RTX 2070 Super,$627,281,February 2022
GeForce RTX 2070,$579,191,February 2022
GeForce RTX 2060 Super,$579,218,February 2022
GeForce RTX 2060,$446,218,February 2022
GeForce GTX 1660 Ti,$403,221,February 2022
GeForce GTX 1660 Super,$422,799,February 2022
GeForce GTX 1660,$363,244,February 2022
GeForce GTX 1650 Super,$265,162,February 2022
GeForce GTX 1650,$253,377,February 2022
Radeon RX 5700 XT,$713,796,February 2022
Radeon RX 5700,$694,125,February 2022
Radeon RX 5600 XT,$473,183,February 2022
Radeon RX 5500 XT 8GB,$355,63,February 2022
Radeon RX 5500 XT 4GB,$277,15,February 2022
GeForce RTX 4090,"$1,866",354,February 2023
GeForce RTX 4080,"$1,155",165,February 2023
GeForce RTX 4070 Ti,$902,79,February 2023
GeForce RTX 3090 Ti,"$1,068",144,February 2023
GeForce RTX 3090,$790,1177,February 2023
GeForce RTX 3080 Ti,$728,756,February 2023
GeForce RTX 3080 12GB,$691,121,February 2023
GeForce RTX 3080,$555,1452,February 2023
GeForce RTX 3070 Ti,$478,666,February 2023
GeForce RTX 3070,$383,1959,February 2023
GeForce RTX 3060 Ti,$330,1648,February 2023
GeForce RTX 3060,$290,934,February 2023
GeForce RTX 3050,$237,117,February 2023
Radeon RX 7900 XTX,"$1,131",44,February 2023
Radeon RX 7900 XT,$784,22,February 2023
Radeon RX 6950 XT,$690,57,February 2023
Radeon RX 6900 XT,$578,192,February 2023
Radeon RX 6800 XT,$490,303,February 2023
Radeon RX 6800,$410,176,February 2023
Radeon RX 6750 XT,$386,13,February 2023
Radeon RX 6700 XT,$309,554,February 2023
Radeon RX 6700 10GB,$316,4,February 2023
Radeon RX 6650 XT,$263,28,February 2023
Radeon RX 6600 XT,$210,592,February 2023
Radeon RX 6600,$185,284,February 2023
Radeon RX 6500 XT,$131,48,February 2023
Radeon RX 6400,$136,54,February 2023
Intel Arc A770 16GB,$334,9,February 2023
Intel Arc A770 8GB,—,0,February 2023
Intel Arc A750,$239,11,February 2023
Intel Arc A380,$120,7,February 2023
GeForce RTX 2080 Ti,$390,380,February 2023
GeForce RTX 2080 Super,$291,160,February 2023
GeForce RTX 2080,$253,165,February 2023
GeForce RTX 2070 Super,$246,328,February 2023
GeForce RTX 2070,$218,178,February 2023
GeForce RTX 2060 Super,$203,193,February 2023
GeForce RTX 2060,$178,344,February 2023
GeForce GTX 1660 Ti,$141,289,February 2023
GeForce GTX 1660 Super,$132,890,February 2023
GeForce GTX 1660,$108,141,February 2023
GeForce GTX 1650 Super,$113,83,February 2023
GeForce GTX 1650,$118,307,February 2023
Radeon RX 5700 XT,$164,795,February 2023
Radeon RX 5700,$148,139,February 2023
Radeon RX 5600 XT,$128,151,February 2023
Radeon RX 5500 XT 8GB,$100,100,February 2023
Radeon RX 5500 XT 4GB,$82,29,February 2023
GeForce RTX 3090,"$2,609",1353,January 2022
GeForce RTX 3080 Ti,"$1,874",871,January 2022
GeForce RTX 3080,"$1,613",1569,January 2022
GeForce RTX 3070 Ti,"$1,179",1010,January 2022
GeForce RTX 3070,"$1,086",1786,January 2022
GeForce RTX 3060 Ti,$923,2380,January 2022
GeForce RTX 3060 12GB,$711,1834,January 2022
GeForce RTX 3050,$539,17,January 2022
Radeon RX 6900 XT,"$1,528",209,January 2022
Radeon RX 6800 XT,"$1,269",250,January 2022
Radeon RX 6800,"$1,150",105,January 2022
Radeon RX 6700 XT,$847,540,January 2022
Radeon RX 6600 XT,$610,537,January 2022
Radeon RX 6600,$516,449,January 2022
Radeon RX 6500 XT,$365,14,January 2022
GeForce RTX 2080 Ti,"$1,127",350,January 2022
GeForce RTX 2080 Super,$824,216,January 2022
GeForce RTX 2080,$751,158,January 2022
GeForce RTX 2070 Super,$704,401,January 2022
GeForce RTX 2070,$643,222,January 2022
GeForce RTX 2060 Super,$640,225,January 2022
GeForce RTX 2060,$518,467,January 2022
GeForce GTX 1660 Ti,$459,300,January 2022
GeForce GTX 1660 Super,$498,725,January 2022
GeForce GTX 1660,$401,262,January 2022
GeForce GTX 1650 Super,$311,214,January 2022
GeForce GTX 1650,$281,563,January 2022
Radeon RX 5700 XT,$810,954,January 2022
Radeon RX 5700,$794,182,January 2022
Radeon RX 5600 XT,$543,192,January 2022
Radeon RX 5500 XT 8GB,$365,84,January 2022
Radeon RX 5500 XT 4GB,$283,26,January 2022
GeForce RTX 4090,"$2,062",563,January 2023
GeForce RTX 4080,"$1,253",128,January 2023
GeForce RTX 4070 Ti,$910,39,January 2023
GeForce RTX 3090 Ti,"$1,097",185,January 2023
GeForce RTX 3090,$817,1188,January 2023
GeForce RTX 3080 Ti,$768,681,January 2023
GeForce RTX 3080 12GB,$748,112,January 2023
GeForce RTX 3080,$588,1522,January 2023
